English,Filipino,Rating,Remarks 1,Remarks 2,pred_raw,pred_rating
"I didn’t want to go to the dentist, but I had to bite the bullet and get it over with.","Ayoko sanang pumunta sa dentista, pero kailangan kong tiisin ito para matapos na.",4.0,"Complete, and accurately translates the idiomatic expression, with slight errors in tenses. The translation doesn't capture that the event was already done in the past. ",Good translation but conjugation is incorrect,"English Sentence: I didn’t want to go to the dentist, but I had to bite the bullet and get it over with.
Filipino Translation: Ayoko sanang pumunta sa dentista, pero kailangan kong tiisin ito para matapos na.
Adequacy: 4 - The translation captures the core meaning of not wanting to go to the dentist but needing to endure it to get it over with. ""Ayoko sanang pumunta sa dentista"" translates to ""I didn't want to go to the dentist."" ""Kailangan kong tiisin ito para matapos na"" translates to ""I need to endure it to get it over with."" The idiom ""bite the bullet"" is translated as ""tiisin ito"" (endure it), which is a reasonable, though not literal, equivalent.
Fluency: 5 - The sentence flows naturally and uses common Filipino sentence structure. The use of ""sana"" makes the sentence sound more polite and natural.
Lexical Choice: 4 - ""Tiisin ito"" is a good choice for conveying the sense of enduring something unpleasant. However, a more direct translation of ""bite the bullet"" might be possible, though it could sound less natural.
Overall Rating: 4",4
Mark accidentally let the cat out of the bag about the surprise trip.,Hindi sinasadyang nailabas ni Mark ang pusa mula sa maleta tungkol sa surprise trip.,3.0,"Complete, and gramatically correct. However, the idiomatic expression was translated literally which loses the original intent of the sentence.",Idiom was not translated correctly,"English Sentence: Mark accidentally let the cat out of the bag about the surprise trip.
Filipino Translation: Hindi sinasadyang nailabas ni Mark ang pusa mula sa maleta tungkol sa surprise trip.
Adequacy: 2 - The translation is not adequate because it literally translates ""let the cat out of the bag"" as ""nailabas ni Mark ang pusa mula sa maleta"" which means ""Mark let the cat out of the suitcase."" This misses the idiomatic meaning of revealing a secret.
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino.
Lexical Choice: 2 - The phrase ""mula sa maleta"" (from the suitcase) is inappropriate as it doesn't convey the idiomatic meaning. The word ""surprise trip"" is directly translated, which is acceptable.
Overall Rating: 2",2
I won’t be able to attend the meeting later because I’m feeling under the weather.,Hindi ako makakadalo sa meeting mamaya dahil masama ang pakiramdam ko.,5.0,"Accurate, Fluent, Coherent, Complete, and captures the meaning of the idiomatic expression.",Complete and grammatically correct,"English Sentence: I won’t be able to attend the meeting later because I’m feeling under the weather.
Filipino Translation: Hindi ako makakadalo sa meeting mamaya dahil masama ang pakiramdam ko.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Hindi ako makakadalo"" translates to ""I won't be able to attend,"" ""sa meeting mamaya"" means ""the meeting later,"" and ""dahil masama ang pakiramdam ko"" effectively translates ""because I’m feeling under the weather.""
Fluency: 5 - The sentence flows naturally and is grammatically correct in Filipino. The word order and phrasing are typical of everyday conversation.
Lexical Choice: 5 - The words used are appropriate for the context. ""Makakadalo,"" ""meeting,"" ""mamaya,"" and ""masama ang pakiramdam ko"" are all common and easily understood terms.
Overall Rating: 5",5
Darkness is not heresy. It lies within us all.,Hindi kasalanan ang kadiliman. Nagsisinungaling ito sa loob natin.,2.0,"flawed translation takes ""lies"" as literal ""being untruthful"" or ""nagsisinungaling""",None,"English Sentence: Darkness is not heresy. It lies within us all.
Filipino Translation: Hindi kasalanan ang kadiliman. Nagsisinungaling ito sa loob natin.
Adequacy: 2 - The translation misses the mark. ""Heresy"" is translated as ""kasalanan"" (sin), which is not entirely accurate. ""Lies within us all"" is translated as ""Nagsisinungaling ito sa loob natin"" (It lies inside us), which changes the meaning significantly. The original sentence implies darkness is a part of everyone, while the translation suggests it's actively deceiving us.
Fluency: 4 - The Filipino sentence is grammatically correct and flows naturally.
Lexical Choice: 2 - ""Kasalanan"" is an inaccurate translation of ""heresy."" ""Nagsisinungaling"" is also a poor choice for ""lies within,"" as it implies deception rather than inherent existence.
Overall Rating: 2",2
This would be easier if blood came in more colours.,Ito ay magiging mas madali kung ang dugo ay dumating sa mas maraming kulay.,2.0,"flawed translation takes ""came in more colors"" literally",None,"English Sentence: This would be easier if blood came in more colours.
Filipino Translation: Ito ay magiging mas madali kung ang dugo ay dumating sa mas maraming kulay.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Ito"" translates to ""This,"" ""ay magiging mas madali"" translates to ""would be easier,"" ""kung"" translates to ""if,"" ""ang dugo"" translates to ""blood,"" ""ay dumating"" translates to ""came,"" ""sa mas maraming kulay"" translates to ""in more colors.""
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino. The word order and phrasing are typical of spoken and written Filipino.
Lexical Choice: 5 - The words used are appropriate for the context. ""Dumating"" is a suitable translation for ""came"" in this context, and ""kulay"" is the standard word for ""color.""
Overall Rating: 5",5
"This guy right here is Shadow, and he's kinda my biggest rival. He's also a real buzz-kill.","Ang lalaking ito dito ay si Shadow, at siya ang aking pinakamalaking karibal. Isa rin siyang totoong buzz-kill.",1.0,"""Ang lalaking ito dito"" should not have ""dito""","buzz-kill is not translated. also ""totoong buzzkill"" is too litteral.","English Sentence: This guy right here is Shadow, and he's kinda my biggest rival. He's also a real buzz-kill.
Filipino Translation: Ang lalaking ito dito ay si Shadow, at siya ang aking pinakamalaking karibal. Isa rin siyang totoong buzz-kill.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Ang lalaking ito dito ay si Shadow"" translates ""This guy right here is Shadow."" ""Siya ang aking pinakamalaking karibal"" translates ""he's kinda my biggest rival."" ""Isa rin siyang totoong buzz-kill"" translates ""He's also a real buzz-kill.""
Fluency: 5 - The translation flows naturally and uses correct grammar. The sentence structure is appropriate for Filipino.
Lexical Choice: 5 - The word choices are appropriate for the context. ""Karibal"" is a good translation for ""rival."" The use of ""totoong buzz-kill"" maintains the original's informal tone.
Overall Rating: 5",5
Stealth is not your thing. But it's adorable you're willing to try.,Ang pagnanakaw ay hindi bagay sa iyo. Ngunit ito ay kaibig-ibig na handa kang subukan.,1.0,"""sumubok"" might be better than ""subukan"" in this context","Changing adorable to ""nakakabilib"" (impressive) changes the tone for this line. Rouge calling Knuckles ""cute"" is meant to have immasculating undertones. In the incorrect translation, stealth is refering to the act of being stealthy/quiet/hidden. Pagnanakaw is theft. wrong translation entirely.","English Sentence: Stealth is not your thing. But it's adorable you're willing to try.
Filipino Translation: Ang pagnanakaw ay hindi bagay sa iyo. Ngunit ito ay kaibig-ibig na handa kang subukan.
Adequacy: 3 - ""Pagnanakaw"" translates to ""theft"" or ""stealing,"" which doesn't accurately capture the meaning of ""stealth."" The rest of the sentence is adequately translated.
Fluency: 5 - The sentence flows naturally and is grammatically correct in Filipino.
Lexical Choice: 3 - ""Pagnanakaw"" is an incorrect lexical choice for ""stealth."" The rest of the words are appropriate.
Overall Rating: 3",3
Cheddar cheese got its name from a village in what country?,Ang nayon na pinagkuhanan ng pangalan ng cheddar cheese ay nasaang bansa?,3.0,"Good translation, gramatically correct, but the word choice is quite formal and doesn't reflect everyday conversations the best.","Good translation that would be understood by native speakers, but still follows the English-centric sentence structure of subject, then verb rather than vice versa.","English Sentence: Cheddar cheese got its name from a village in what country?
Filipino Translation: Ang nayon na pinagkuhanan ng pangalan ng cheddar cheese ay nasaang bansa?
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Ang nayon na pinagkuhanan ng pangalan ng cheddar cheese"" translates to ""The village from which cheddar cheese got its name,"" and ""ay nasaang bansa?"" translates to ""is in what country?"".
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino. The word order and phrasing are typical of how a native speaker would ask this question.
Lexical Choice: 5 - The words used are appropriate for the context. ""Nayon"" is a good translation for ""village,"" and ""pinagkuhanan ng pangalan"" accurately captures the idea of ""got its name from.""
Overall Rating: 5",5
Which of the following tools is LEAST likely to be used in the process of creating a wood sculpture?,Alin sa mga sumusunod ang PINAKABIHIRANG ginagamit sa paggawa ng eskulturang kahoy?,5.0,Perfect translation. Sounds natural as well for a native speaker.,Accurate translation that would be used in everyday conversations.,"English Sentence: Which of the following tools is LEAST likely to be used in the process of creating a wood sculpture?
Filipino Translation: Alin sa mga sumusunod ang PINAKABIHIRANG ginagamit sa paggawa ng eskulturang kahoy?
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""PINAKABIHIRANG"" correctly translates ""LEAST likely"". ""paggawa ng eskulturang kahoy"" accurately translates ""creating a wood sculpture"".
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino.
Lexical Choice: 5 - The words used are appropriate for the context and easily understood by a native speaker.
Overall Rating: 5",5
"With what would you use a ""wah-wah pedal?","Ano ang gagamitin mo ng ""wah-wah pedal?",1.0,Incoherent sentence due to trying to match english sentence word-per-word,Wrong verb-tense which makes the sentence sound like nonsense.,"English Sentence: With what would you use a ""wah-wah pedal?
Filipino Translation: Ano ang gagamitin mo ng ""wah-wah pedal?
Adequacy: 3 - The translation is understandable but slightly awkward. The phrase ""Ano ang gagamitin mo ng"" is a literal translation of ""With what would you use,"" but it doesn't quite capture the nuance of the English question. It's missing the preposition ""para"" or ""sa"" to indicate purpose.
Fluency: 3 - The sentence structure is a bit unnatural in Filipino. A more fluent phrasing would be ""Para saan mo gagamitin ang 'wah-wah pedal'?""
Lexical Choice: 5 - The term ""wah-wah pedal"" is correctly retained, as it's a specific musical term.
Overall Rating: 3",3
Which of the following dental topics is developmentally appropriate for toddlers?,Alin sa mga sumusunod na paksa sa ngipin ang angkop sa pag-unlad para sa mga paslit?,2.0,"Most of the translation is actually quite spot-on, but trying to directly translate ""dental"" to ""ngipin"" completely changes the sentence's meaning","No direct translation for dental in tagalog, so translation tries to find a related word in ""ngipin"" which means teeth. A code-switched version like ""paksang dental"" would be better.","English Sentence: Which of the following dental topics is developmentally appropriate for toddlers?
Filipino Translation: Alin sa mga sumusunod na paksa sa ngipin ang angkop sa pag-unlad para sa mga paslit?
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Alin sa mga sumusunod"" translates to ""Which of the following,"" ""paksa sa ngipin"" translates to ""dental topics,"" ""angkop sa pag-unlad"" translates to ""developmentally appropriate,"" and ""para sa mga paslit"" translates to ""for toddlers.""
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino. The word order and phrasing are typical of the language.
Lexical Choice: 5 - The words used are appropriate for the context. ""Paslit"" is a common and suitable term for ""toddlers.""
Overall Rating: 5",5
The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,Ang Bloons ay bumalik at mas mahusay kaysa dati! Maghanda para sa isang napakalaking 3D tower defense na laro na idinisenyo upang bigyan ka ng mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit.,3.0,"""mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit"" is a too literal translation, some parts would be better removed for improved clarity and flow","lexical error, “mas mahusay kaysa dati"", literal translation of ""better than ever"", lacks enthusiasm or punch.","English Sentence: The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.
Filipino Translation: Ang Bloons ay bumalik at mas mahusay kaysa dati! Maghanda para sa isang napakalaking 3D tower defense na laro na idinisenyo upang bigyan ka ng mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Ang Bloons ay bumalik at mas mahusay kaysa dati!"" translates ""The Bloons are back and better than ever!"". ""Maghanda para sa isang napakalaking 3D tower defense na laro na idinisenyo upang bigyan ka ng mga oras at oras ng pinakamahusay na diskarte sa paglalaro na magagamit"" translates ""Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.""
Fluency: 5 - The translation is fluent and natural-sounding in Filipino. The sentence structure and word choices are appropriate for the language.
Lexical Choice: 5 - The word choices are accurate and appropriate for the context. ""Napakalaking"" is a good translation for ""massive,"" and ""diskarte sa paglalaro"" accurately translates ""strategy gaming.""
Overall Rating: 5",5
"Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media.","Ang Sea of Thieves ay isang smash-hit na pirate adventure game, na nag-aalok ng quintessential na karanasan sa pirata ng pagnanakaw sa mga nawawalang kayamanan, matinding labanan, pagtalo sa mga halimaw sa dagat at higit pa. Sumisid sa binagong edisyon ng larong ito, na kinabibilangan ng access sa digital bonus media.",2.0,"unnatural phrasing; ""quintessential na karanasan sa pirata"" sound overly literal and not idiomatic in Filipino.","stiff or overly formal tone, ""binagong edisyon"" and ""kinabibilangan ng access sa digital bonus media"" feel too formal and literal","English Sentence: Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media.
Filipino Translation: Ang Sea of Thieves ay isang smash-hit na pirate adventure game, na nag-aalok ng quintessential na karanasan sa pirata ng pagnanakaw sa mga nawawalang kayamanan, matinding labanan, pagtalo sa mga halimaw sa dagat at higit pa. Sumisid sa binagong edisyon ng larong ito, na kinabibilangan ng access sa digital bonus media.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""smash-hit,"" ""quintessential,"" ""digital bonus media"" are all directly translated or transliterated appropriately. The core actions like ""pagnanakaw sa mga nawawalang kayamanan"" (plundering lost treasures), ""matinding labanan"" (intense battles), and ""pagtalo sa mga halimaw sa dagat"" (vanquishing sea monsters) are also accurately represented.
Fluency: 5 - The sentence flows naturally in Filipino. The use of ""na"" to connect phrases and clauses is grammatically correct. The sentence structure is easy to understand for a native Filipino speaker.
Lexical Choice: 5 - The word choices are appropriate for the context. ""Pagnanakaw"" is a suitable translation for ""plundering,"" and ""matinding labanan"" accurately conveys ""intense battles."" The transliteration of ""digital bonus media"" is also acceptable.
Overall Rating: 5",5
"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac's form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.","Ang The Binding of Isaac: Rebirth ay isang random na nabuong action RPG shooter na may mabibigat na elementong parang Rogue. Kasunod ni Isaac sa kanyang paglalakbay, ang mga manlalaro ay makakahanap ng mga kakaibang kayamanan na nagpabago sa anyo ni Isaac na nagbibigay sa kanya ng sobrang mga kakayahan ng tao at nagbibigay-daan sa kanya upang labanan ang napakaraming mga misteryosong nilalang, tumuklas ng mga lihim at labanan ang kanyang daan patungo sa kaligtasan.",2.0,"The translations are too literal; some of the terms could be preserved such as ""Rogue-like""; super human abilities was incorrectly translated to ""sobrang mga kakayahan ng tao"", instead of ""higit sa karaniwang kakayahan ng tao"", or just ""makapangyarihang kakayahan""","semantic errors and lexical errors, phrases like “labanan ang kanyang daan” and “random na nabuong” sound unnatural or awkward.","English Sentence: The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac's form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.
Filipino Translation: Ang The Binding of Isaac: Rebirth ay isang random na nabuong action RPG shooter na may mabibigat na elementong parang Rogue. Kasunod ni Isaac sa kanyang paglalakbay, ang mga manlalaro ay makakahanap ng mga kakaibang kayamanan na nagpabago sa anyo ni Isaac na nagbibigay sa kanya ng sobrang mga kakayahan ng tao at nagbibigay-daan sa kanya upang labanan ang napakaraming mga misteryosong nilalang, tumuklas ng mga lihim at labanan ang kanyang daan patungo sa kaligtasan.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. Key phrases like ""random na nabuong action RPG shooter,"" ""mabibigat na elementong parang Rogue,"" ""kakaibang kayamanan na nagpabago sa anyo ni Isaac,"" and ""sobrang mga kakayahan ng tao"" all reflect the original English content.
Fluency: 5 - The translation flows naturally and is grammatically correct. The sentence structure is appropriate for Filipino, and the word choices make sense in context.
Lexical Choice: 5 - The lexical choices are appropriate. ""Random na nabuo"" is a good translation of ""randomly generated."" ""Kakaiba"" is a good translation of ""bizarre."" ""Sobrang mga kakayahan ng tao"" is a good translation of ""super human abilities.""
Overall Rating: 5",5
"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","Maligayang pagdating sa isang bagong mundo! Sa Monster Hunter: World, ang pinakabagong installment sa serye, masisiyahan ka sa pinakahuling karanasan sa pangangaso, gamit ang lahat ng iyong makakaya upang manghuli ng mga halimaw sa isang bagong mundo na puno ng mga sorpresa at kaguluhan.",4.0,"""installment"" could be replaced with an apt filipino word (e.g., parte, bahagi, kabanata)",semantic error “Kaguluhan” (for “excitement”),"English Sentence: Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.
Filipino Translation: Maligayang pagdating sa isang bagong mundo! Sa Monster Hunter: World, ang pinakabagong installment sa serye, masisiyahan ka sa pinakahuling karanasan sa pangangaso, gamit ang lahat ng iyong makakaya upang manghuli ng mga halimaw sa isang bagong mundo na puno ng mga sorpresa at kaguluhan.
Adequacy: 5 - The translation accurately conveys the meaning of the original English sentence. ""Maligayang pagdating sa isang bagong mundo!"" translates to ""Welcome to a new world!"". ""pinakabagong installment sa serye"" translates to ""the latest installment in the series"". ""pinakahuling karanasan sa pangangaso"" translates to ""the ultimate hunting experience"". ""puno ng mga sorpresa at kaguluhan"" translates to ""teeming with surprises and excitement"".
Fluency: 5 - The translation flows naturally and uses grammatically correct Filipino. The sentence structure and word choices are appropriate for the context.
Lexical Choice: 5 - The word choices are appropriate and natural. ""Maligayang pagdating"" is a standard way to say ""Welcome"". ""Pinakahuling"" is a good translation for ""ultimate"". ""Kaguluhan"" is a suitable translation for ""excitement"".
Overall Rating: 5",5
"For so long, you and me been finding each other for so long.","Matagal na, matagal na tayong dalawa naghahanap sa isa't isa.",2.0,translates you and me into tayo and the translation of finding is awkward,"You and me' was translated as 'tayo', which might not be the best fit, and the word 'finding' sounds a bit off in the translation.","English Sentence: For so long, you and me been finding each other for so long.
Filipino Translation: Matagal na, matagal na tayong dalawa naghahanap sa isa't isa.
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Matagal na"" translates to ""For so long,"" and ""tayong dalawa naghahanap sa isa't isa"" translates to ""you and me been finding each other.""
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino. The repetition of ""matagal na"" emphasizes the length of time, which is also present in the original English sentence.
Lexical Choice: 5 - The words used are appropriate and natural in the context. ""Naghahanap sa isa't isa"" is a common way to express ""finding each other.""
Overall Rating: 5",5
I can't stop smiling when you're there,Hindi ko mapigilang ngumiti tuwing andiyan ka,5.0,translation is accurate while sounding natural,The translation is correct and still sounds smooth and natural.,"English Sentence: I can't stop smiling when you're there
Filipino Translation: Hindi ko mapigilang ngumiti tuwing andiyan ka
Adequacy: 5 - The translation accurately conveys the meaning of the original sentence. ""Hindi ko mapigilang ngumiti"" means ""I can't stop smiling,"" and ""tuwing andiyan ka"" means ""when you're there.""
Fluency: 5 - The sentence is grammatically correct and flows naturally in Filipino. The word order and choice of words are appropriate for the context.
Lexical Choice: 5 - The words used are appropriate and commonly used in Filipino to express the given sentiment. ""Ngumiti"" (to smile) and ""andiyan"" (there) are suitable choices.
Overall Rating: 5",5
