English,Filipino-Correct,Filipino-Flawed,Remarks,Contributor
"The Banaue Rice Terraces, often called the ""Eighth Wonder of the World,"" were made by the Ifugao.","Ang Banaue Rice Terraces ay kaladalasang tinatawag na ""8th wonder of the world"" ay ginawa ng mga katutubuong Ifugao.",Ang Banaue Rice Terraces ang Pangalawang Hanga ng Mundo na katutubong Ifugao,,Geena Tibule/Charlyne Arajoy Carabeo
"Taal Volcano, near Manila, is one of the world's smallest active volcanoes but is also one of the most dangerous.",Ang Bulkang Taal na malapit sa Maynila ay isa sa pinakamaliit ngunit pinakapanganib na bulkan sa mundo,Ang Bulkang Taal na malapit sa Manila ay isang malaking at mapanganib na bulkan sa mundo,,Geena Tibule/Charlyne Arajoy Carabeo
The Mayon Volcano in Albay is famous for its almost perfect cone shape.,Ang Bulkang Mayon sa Albay ay sikat sa tila perpektong hugis kono,Ang Bulkang Mayon sa Manila ay sikat sa tila perpektong pagkabilog,,Geena Tibule/Charlyne Arajoy Carabeo
The sport of basketball is extremely popular in the Philippines.,Ang basketball ay isang napakasikat na isport sa Pilipinas,Ang football ay isang sikat na isport ng Pilipinas,,Geena Tibule/Charlyne Arajoy Carabeo
"""Balut"" is one of the favorite street foods in the Philippines.",Ang Balut ay isa sa mga paboritong street food sa Pilipinas. ,Ang Balut ay isa sa mga paboritong pagkaing kalye sa Pilipinas. ,,Geena Tibule/Charlyne Arajoy Carabeo
"Dr. Jose Rizal, the National hero of the Philippines, was born in Calamba, Laguna. ","Si Dr. Jose Rizal, ang pambansang bayani ng Pilipinas, ay ipinanganak sa Calamba, Laguna. ","Si Dr. Jose Rizal, ang pambansang bayani ng Pilipinas, ay isilang sa Calamba, Laguna. ",,Geena Tibule/Charlyne Arajoy Carabeo
"The Puerto Princesa Subterranean River National Park, which contains an 8.2-kilometer underground river, is currently among the New 7 Wonders of Nature.",Ang Puerto Princesa Subterranean River National Park na nagtataglay ng 8.2 kilometrong ilog sa ilalim ng lupa ay kabilang sa New 7 Wonders of Nature. ,Ang Puerto Princesa Subterranean River National Park ay mayroong 8.2 kilometrong ilog sa ilalim ng lupa ay kasama ng New 7 Wonders of Nature. ,,Geena Tibule/Charlyne Arajoy Carabeo
Manny Pacquiao is a world-famous professional Filipino boxer because he holds eight boxing titles in different weight categories.,"Si Manny Pacquiao ay isang sikat sa buong mundo na propesyonal na Filipino boxer dahil hawak niya ang walong titulo sa iba't ibang kategorya ng timbang sa boxing. 
",Si Manny Pacquiao ay isang mundo-sikat na propesyonal na Filipino boxer dahil may hawak syang walong titulo sa iba't ibang timbang kategorya. ,,Geena Tibule/Charlyne Arajoy Carabeo
"The Chocolate Hills of Bohol, Philippines is known for its unique 1,260 conical and dome-shaped hills. 
","Ang Chocolate Hills ng Bohol, Philippines ay kilala sa kakaibang 1,260 hugis-apa at hugis-kuyopa na mga burol.
","Ang Chocolate Hills ng Bohol, Philippines ay sikat sa pambihirang 1,260 hugis-apa at dome-shaped mga burol.",,Geena Tibule/Charlyne Arajoy Carabeo
"A traditional adobo recipe typically consists of chicken or pork, soy sauce, vinegar, garlic, peppercorns, and bay leaves.","Ang tradisyonal na resipe ng adobo ay karaniwang binubuo ng manok o baboy, toyo, suka, bawang, paminta, at dahon ng laurel.","Ang lumang resipe ng adobo kadalasan ay naglalaman ng manok o karneng baboy, toyo sarsa, suka, bawang, mga paminta, at baybay dahon.",,Geena Tibule/Charlyne Arajoy Carabeo
"The Independence Day of the Philippines is celebrated every year on June 12th, the day when the country declared its independence from Spanish colonial rule on June 12, 1898. ","Ang Araw ng Kalayaan ng Pilipinas ay ipinagdiriwang bawat taon tuwing ika-12 ng Hunyo, ang petsa kung kailan ipinahayag ng bansa ang sarili nitong kalayaan mula sa pananakop ng mga Kastila noong Hunyo 12, 1898.","Ang Araw ng Kalayaan ng Pilipinas ay ginaganap  taon-taon sa bawat Hunyo 12, ang araw kung kailan idineklara ng bansa ang sarili nitong kalayaan mula sa pananakop ng mga Kastila noong Hunyo 12, 1898.",,Geena Tibule/Charlyne Arajoy Carabeo
Lapu-Lapu  is considered the first national hero of the Philippines for leading the Battle of Mactan where he defeated Ferdinand Magellan. ,Si Lapu-Lapu ay itinuturing na unang pambansang bayani ng Pilipinas dahil sa pamumuno niya sa Battle of Mactan kung saan niya tinalo si Ferdinand Magellan.,Si Lapu-Lapu ay nakita bilang unang pambansang kampyon ng Pilipinas dahil sa pinangunahan niya sa Battle of Mactan kung saan siya ay nagtagumpay kay Ferdinand Magellan.,,Geena Tibule/Charlyne Arajoy Carabeo
"""Mano"" or ""Mano po"" is a traditional gesture of respect shown to elders in the Philippines.","Ang ""Mano"" o ""Mano po"" ay isang tradisyonal na kilos na nagpapakita ng paggalang sa mga nakatatanda sa Pilipinas.","Ang ""Mano"" o ""Mano po"" ay isang tradisyonal na galaw na nagpapakita ng paggalang sa mga lumang tao sa Pilipinas.",,Geena Tibule/Charlyne Arajoy Carabeo
"""Manananggal"" and ""Kapre"" are mythical creatures in the Philippines.",Ang Manananggal at Kapre ay mga mitolohikal na nilalang sa Pilipinas. ,Ang Manananggal at Kapre ay mitolohikal mga nilalang sa Pilipinas. ,,Geena Tibule/Charlyne Arajoy Carabeo
"Pope Francis visited the Philippines on January 15-19, 2025, in the Philippines, the only Christian country in Asia.
","Bumisita si Pope Francis sa Pilipinas noong Enero 15-19, 2025 sa Pilipinas, ang nag-iisang bansang Kristiyano sa Asya.","Si Santo Papa Francis bumisita noong Enero 15-19, 2025 sa Pilipinas, ang nag-iisang bansang Kristiyano sa Asya.",,Geena Tibule/Charlyne Arajoy Carabeo
The Philippines has 170 languages.,Ang Pilipinas ay mayroong 170 lengguwahe.,Ang Pilipinas ay naglalaman ng 170 salita.,,Geena Tibule/Charlyne Arajoy Carabeo
"Bayanihan is a Filipino cultural value that emphasizes communal unity, cooperation, and the spirit of working together to achieve a common goal. ","Ang Bayanihan ay kulturang Pilipino na nagbibigay-diin sa pagkakaisa ng komunidad, pagtutulungan, at diwa ng pagkakawang gawa upang makamit ang iisang layunin.","Ang Bayanihan ay kulturang Pilipino na nagbibigay pansin sa komunidad pagkakaisa, tulungan, at diwa ng pagkakawang gawa upang makamit ang iisang layunin.",,Geena Tibule/Charlyne Arajoy Carabeo
Rice is the main staple food of the Filipinos.,"Ang kanin ang pangunahing pagkain ng mga Pilipino.
",Ang bigas ang pangunahing staple pagkain ng ang mga Pilipino.,,Geena Tibule/Charlyne Arajoy Carabeo
"Fiestas in the Philippines are vibrant celebrations often involving religious processions, masses, and lively street festivities.","Ang mga pista sa Pilipinas ay masiglang pagdiriwang na kadalasang tampok ang mga prusisyon ng simbahan, mga misa, at masisiglang kasiyahan sa kalye.","Ang mga pista sa Pilipinas ay makukulay na selebrasyon na kadalasang kasama ang mga prusisyon ng simbahan, mga misa, at buhay na buhay na kasiyahan sa kalye.",,Geena Tibule/Charlyne Arajoy Carabeo
The first Olympic gold medal for the Philippines was won by Hidilyn Diaz in the Women's 55-kg weightlifting category at the Tokyo 2020 Summer Olympics. ,Ang unang gintong medalya sa Olympics para sa Pilipinas ay napanalunan ni Hidilyn Diaz sa kategoryang 55-kg weightlifting ng mga kababaihan sa Tokyo 2020 Summer Olympics.,Ang unang Olympic gintong medalya para sa Pilipinas ay napanalunan ni Hidilyn Diaz sa kategoryang 55-kg weightlifting ng mga babae sa Tokyo 2020 Summer Olympics.,,Geena Tibule/Charlyne Arajoy Carabeo
"Filipinos highly value family, emphasizing close bonds, respect for elders, and the well-being of the community over personal desires.","Ang mga Pilipino ay lubos na pinahahalagahan ang pamilya, binibigyang-diin ang matibay na ugnayan, pagrespeto sa mga matatanda, at ang kapakanan ng komunidad higit sa personal na kagustuhan.","Ang mga Pilipino ay napakataas ang halaga sa pamilya, binibigyang-diin ang matibay na ugnayan, pagrespeto sa mga lumang tao, at ang kapakanan ng komunidad higit sa personal na kagustuhan.",,Geena Tibule/Charlyne Arajoy Carabeo
Sharing food and drinks is a big part of Filipino hospitality. ,Ang pagbabahagi ng pagkain at inumin ay isang malaking bahagi ng pagiging mapagkalinga ng mga Pilipino.,Pagbabahagi pagkain at inumin ay isang malaking bahagi ng Pilipino hospitality.,,Geena Tibule/Charlyne Arajoy Carabeo
Overseas Filipino Workers (OFWs) are widely regarded as modern-day heroes due to their significant contributions to the Philippine economy and the sacrifices they make by working abroad.,Ang mga Overseas Filipino Worker (OFW) ay malawakang itinuturing bilang mga modernong bayani dahil sa kanilang malaking ambag sa ekonomiya ng Pilipinas at sa mga sakripisyong ginagawa nila sa pagtatrabaho sa ibang bansa.,Ang mga Overseas Filipino Worker (OFW) ay malaking itinuturing bilang mga modernong tagapagligtas dahil sa kanilang malaking ambag sa Pilipinas  ekonomiya at sa mga sakripisyong ginagawa nila sa pagtatrabaho sa ibang bansa.,,Geena Tibule/Charlyne Arajoy Carabeo
Guimaras mangoes are known to be the sweetest mangoes in the world.,Ang mga mangga sa Guimaras ay kilala bilang pinakamatamis na mangga sa mundo. ,Ang Guimaras ng mga mangga ay alam bilang pinakamatamis na mga mangga sa daigdig. ,,Geena Tibule/Charlyne Arajoy Carabeo
"Whale sharks can be seen in Oslob, Cebu, Philippines.","Makikita ang mga butanding sa Oslob, Cebu, Philippines.","Ang mga butanding ay pwede makita sa Oslob, Cebu, Philippines.",,Geena Tibule/Charlyne Arajoy Carabeo
"Based on the police investigation, the two were customers of a bar on Morato Avenue.","Batay sa imbestigasyon ng mga pulis, customer ng isang bar sa may Morato Avenue ang dalawa .","Sa base ng pananaliksik ng pulisya, ang dalawang ito ay mga customer ng bar sa lansangan ng Morato.",Literal,Joel Ethan Batac/Boris Victoria
Authorities are still trying to figure out how the suspect got the gun inside the university.,Inaalam pa ng mga awtoridad kung papaano nakapagdala ng baril sa loob ng pamantasan ang suspek.,Sinusubukan pa ring alamin ng mga awtoridad kung paano nakuha ng suspek ang baril sa loob ng unibersidad.,Context of got the gun is lost,Joel Ethan Batac/Boris Victoria
"As many as 17 packets of shabu were seized in the said raid amounting to P102,000.","Nakakuha naman ng aabot sa 17 pakete ng shabu sa nasabing raid na aabot sa P102,000 .","Kasingdami ng 17 na pakete ng shabu ang nahuli sa nasabing salakay na may halagang P102,000.",,Joel Ethan Batac/Boris Victoria
DepEd has condemned the crime and extends its condolences to the victim's family.,Kinondena na ng DepEd ang krimen at nakiramay ito sa pamilya ng biktima .,Ang DepEd ay kinondena ang krimen at pinahaba ang pakikiramay sa pamilya ng biktima.,,Joel Ethan Batac/Boris Victoria
He also said that there needs to be good coordination between local government units and bus operators.,Kailangan din aniya na maganda ang koordinasyon ng mga local government units at mga bus operator .,Sinabi din niya na doon kailangan ng mabuting koordinasyon sa pagitang ng lokal na unit ng pamahalaan at operator ng bus.,,Joel Ethan Batac/Boris Victoria
"Three were killed in a fire in Novaliches, Quezon City this morning.","Tatlo ang nasawi sa isang sunog sa Novaliches, Quezon City kaninang umaga .","Tatlo ay napatay sa isang apoy sa Novaliches, Quezon City ngayong umaga",,Joel Ethan Batac/Boris Victoria
"The two suspects are currently being held at PDEA headquarters on NIA Road, Bgy Diliman.","Kasalukuyang nakakulong ang dalawang suspek sa punong-tanggapan ng PDEA sa NIA Road, Bgy Diliman.",Ang dalawang suspect ay kasalukuyang hawak sa PDEA headquarters.,,Joel Ethan Batac/Boris Victoria
GMA News is still trying to trace the identity of the man in the video.,Sinusubukan pang matunton ng GMA News ang pagkakakilanlan ng lalaki na nasa video .,Balita ng GMA ay binabakas ang pagkakakilanlan ng lalaki sa video.,,Joel Ethan Batac/Boris Victoria
"Serna admits that she was horrified by what happened, especially since they had no equipment for childbirth.","Aminado si Serna na natakot siya sa nangyari, lalo't wala silang gamit sa panganganak.","Si Serna ay inamin na siya ay natakot sa anong nangyari, lalo na dahil sila ay walang kagamitin sa kapanganakan.",,Joel Ethan Batac/Boris Victoria
"Three people were confirmed dead in a fire in Tondo, Manila, which broke out this Wednesday morning.","Tatlo ang kumpirmadong patay sa sunog sa Tondo , Maynila , na sumiklab nitong Miyerkules ng umaga.","Tatlong tao ay kumpirmadong patay sa sunog sa Tondo, Manila na nagsimula itong umagang Miyerkules.",,Joel Ethan Batac/Boris Victoria
"In this regard, the DOTr official also appealed to the public to take care of the said facility.","Kaugnay nito, nanawagan rin ang DOTr official sa madla na ingatan ang nasabing pasilidad.","Sa loob ng titig, ang opisyal ng DOTr ay umapila sa publiko na alagaan ang nasabing pasilidad",,Joel Ethan Batac/Boris Victoria
This is the first time Mariah has returned to the Philippines since 2014.,Ito ang kauna-unahang pagkakataon na bumalik si Mariah sa Pilipinas mula noong 2014.,Ito ang unang panahong si Mariah ay bumalik sa Pilipinas mula noong 2014.,,Joel Ethan Batac/Boris Victoria
More people are happy than sad or angry about Elmo Magalona's move to ABS-CBN.,Mas marami ang natuwa kesa sa mga nalungkot o nagalit sa paglipat ni Elmo Magalona sa ABS-CBN.,Mas maraming tao ang masaya kaysa malungkot o magalit tungkol sa paggalaw ni Elmo Magalona sa ABS-CBN.,,Joel Ethan Batac/Boris Victoria
"Occupancy and boating on Taal Lake should also be strictly prohibited , Phivolcs added .","Ang paninirahan at paglalayag sa Taal Lake ay dapat ding mahigpit na ipinagbabawal, dagdag ng Phivolcs.",Pagsaklaw at pamamangka sa Taal Lake ay dapat mahigpit ipinagbabawal sabi ni Phivolcs,,Joel Ethan Batac/Boris Victoria
"Malacaang has assured affected residents that they will receive cash assistance worth P1 , 000 or up to P4 , 000 per family","Tinitiyak ng Malacaang ang mga apektadong residente na makakatanggap sila ng cash assistance na nagkakahalaga ng P1, 000 o hanggang sa P4, 000 bawat pamilya",Si Malacanang ay nagsigurado sa mga nakaranas na residente na sila ay makakukuha ng perang tulong halang P1000 o taas P4000 bawat pamilya.,,Joel Ethan Batac/Boris Victoria
He also cited the option of erecting a new City Hall building in the soon-to-be-reclaimed lot .,Binanggit din niya ang posibilidad ng pagtatayo ng isang bagong gusali ng City Hall sa malapit na ibalik na lote .,Sinabi niya ang option na pagtayo ng bagong gusali ng City Hall sa malapit mabawing marami.,,Joel Ethan Batac/Boris Victoria
They have to present the winning tickets along with two identification cards .,Dapat nilang ipakita ang mga winning ticket kasama ang dalawang ID card .,Kailangang ipresenta ang mga tiket na nanalo kasama ang baraha ng pagkakailanlan.,Literal and refers to ticket as the actor,Joel Ethan Batac/Boris Victoria
He said they prefer to wait for the results of the Senate review on these documents .,Sinabi niya na mas gusto nilang maghintay para sa mga resulta ng pagsusuri ng Senado sa mga dokumento na ito .,Sinabi niya na gusto nilang maghintay sa resulta ng pagsusuri ng Senado sa mga ganitong dokumento,,Joel Ethan Batac/Boris Victoria
Ill be unforgiving especially on acts of corruption .,Hindi ako magpapatawad lalo na sa mga gawa ng katiwalian .,Gawain sa korapsyon ay hindi ko patatawarin,plus points not literal word by word,Joel Ethan Batac/Boris Victoria
Suarez also assured that he will provide the school supplies and other necessary needed in school.,Isiniguro rin ni Suarez na magbibigay siya school supplies at iba pang kinakailangang kailangan sa paaralan .,Si Suarez ay nagsigurado na magbibigay niya ang mga supply ng paaralan ang ibang kailangan na kailangan sa paaralan.,,Joel Ethan Batac/Boris Victoria
"A magnitude 4.8 earthquake has hit Davao Occidental, Thursday afternoon.","Tumama ang magnitude 4.8 na lindol sa Davao Occidental, Huwebes ng hapon.","Ang lindol na may lakas na 4.8 ay tumama sa Davao Occidental, Huebes ng tanghali.","Unnatural flow, Overly literal translation on magnitude and lakas",Joel Ethan Batac/Boris Victoria
Three of the two suspects have been apprehended while one is still at large.,Tatlo sa mga dalawang suspek ang nahuli na habang ang isa ay nakakawala pa.,Tatlo sa dalawang suspek na ang nahuli habang ang isa ay malaki pa.,Literal translation of at large,Joel Ethan Batac/Boris Victoria
"As of writing, its music video has surpassed 160K views on YouTube.","Sa kasalukuyan, lumampas na sa 160k ang views ng music video nito sa YouTube.","Bilang ng pagsulat, ang kanyang music video ay lumampas sa 160K views sa YouTube.",Nobody says bilang ng pagsulat,Joel Ethan Batac/Boris Victoria
The pictures of Jessica Soho and Korina Sanchez were made fun of.,Pinagtawanan ang mga larawan nina Jessica Soho at Korina Sanchez.,Ang mga larawan nina Jessica Soho at Korina Sanchez ay pinagtatawanan.,Unnecessary ay-inversion,Joel Ethan Batac/Boris Victoria
The actress has not given any further details about it.,Wala pang karagdagang detalye na ibinigay ang aktres tungkol dito.,Ang aktres ay hindi nagbigay ng anumang karagdagang mga detalye tungkol dito.,Unneecessary ay-inversion,Joel Ethan Batac/Boris Victoria
"The number of recoveries stood at 6,897 with 290 new recoveries recorded.","Umabot na sa 6,897 ang bilang ng mga gumaling, kabilang ang 290 bagong gumaling.","Ang bilang ng mga gumaling ay tumayo sa 6,897 kasama ang 290 bagong gumaling na naitala.","Unnecessary ay-inversion, literal translation of stood??",Joel Ethan Batac/Boris Victoria
The decision of the two actresses was mutual and no one forced them to get along.,Mutual ang desisyon ng dalawang aktres at walang pumilit sa kanila na magkasundo.,Ang desisyon ng dalawang aktres ay magkasama at walang pinipilit sa kanila na magkasama.,"magkasama, pinipilit",Joel Ethan Batac/Boris Victoria
"For other violations, appropriate laws would be used to sanction the violators, Licup said.","Para sa ibang paglabag, angkop na mga batas ang gagamitin upang parusahan ang mga lumabag, ayon kay Licup.","Para sa iba pang mga paglabag , ang mga naaangkop na batas ay gagamitin upang parusahan ang mga paglabag , sabi ni Licup.",,Joel Ethan Batac/Boris Victoria
Ms . Kris respects our prosecutors and she now leaves it to them to start the legal process .,Iginagalang ni Bb. Kris ang ating mga piskal at ipinapaubaya na niya sa kanila ang pagsisimula ng legal na proseso.,Ginagalang ni Ms. Kris ang ating mga prosecutor at iniwan niya sa kanila na simulan ang legal na proseso .,,Joel Ethan Batac/Boris Victoria
"Both locations are experiencing spikes in new coronavirus cases, but most attendees did not wear masks .","Parehong nakararanas ng pagtaas ng bagong kaso ng coronavirus ang dalawang lugar, ngunit karamihan sa mga dumalo ay hindi nagsuot ng face mask.","Ang parehong mga lokasyon ay nakakaranas ng spikes sa mga bagong kaso ng coronavirus, ngunit ang karamihan sa mga dumalo ay hindi nagsusuot ng mga maskara .",,Joel Ethan Batac/Boris Victoria
"First , we need to have a ceasefire we cannot monitor something that doesnt exist.","Una, kailangan nating magkaroon ng tigil-putukan dahil hindi natin maaaring bantayan ang isang bagay na hindi naman umiiral.","Una , kailangan nating magkaroon ng tigil ng sunog . Hindi natin maaaring subaybayan ang isang bagay na hindi umiiral .",tigil ng sunog,Joel Ethan Batac/Boris Victoria
The graduates may apply in LGUs of their choice for possible deployment or employment.,Maaaring mag-apply ang mga nagtapos sa mga LGU na nais nila para sa posibleng deployment o trabaho.,Ang mga nagtapos ay maaaring mag-aplay sa LGUs ng kanilang pagpili para sa posibleng deploy o trabaho.,,Joel Ethan Batac/Boris Victoria
Losing an incredible person at such a young age is very difficult .,Napakahirap mawalan ng isang kahanga-hangang tao sa murang edad.,Napakahirap mawalan ng isang kamangha-manghang tao sa gayong kabataan .,ok naman but parang nawala sa domain,Joel Ethan Batac/Boris Victoria
We cannot allow another form of addiction such as gambling to proliferate in our society .,Hindi natin maaaring hayaan na kumalat sa lipunan ang panibagong anyo ng adiksyon tulad ng sugal.,Hindi natin maaaring pahintulutan ang ibang uri ng pagkaadik tulad ng pagsusugal na lumalaki sa ating lipunan .,lumalaki,Joel Ethan Batac/Boris Victoria
"Meanwhile , Pangasinan has , so far , recorded 220 cases coronavirus disease COVID-19 , including 35 in Dagupan City .","Samantala, nakapagtala na ang Pangasinan ng 220 kaso ng coronavirus disease (COVID-19), kabilang ang 35 sa Lungsod ng Dagupan.","Samantala , hanggang ngayon , 220 na kaso ng coronavirus disease COVID-19 ang naitala sa Pangasinan , kabilang ang 35 sa Dagupan City .",hanggang ngayon -> sa ngayon,Joel Ethan Batac/Boris Victoria
Calaca said that only ARBs listed under the RSBSA could avail themselves of the insurance program .,"Ayon kay Calaca, tanging ang mga ARB na nakalista sa ilalim ng RSBSA ang maaaring makinabang sa insurance program.",Sinabi ni Calaca na ang mga ARB lamang na nakalista sa ilalim ng RSBSA ang maaaring gumamit ng programa ng seguro .,programa ng seguro,Joel Ethan Batac/Boris Victoria
"It is working , so lets finish what we started .","Gumagana ito, kaya tapusin natin ang ating nasimulan.","Nagtatrabaho ito , kaya tapusin natin ang sinimulan natin .",,Joel Ethan Batac/Boris Victoria
"When Yape slumped on the ground , the assailant finished him off with more shots .","Nang bumagsak sa lupa si Yape, pinaslang siya ng salarin sa pamamagitan ng sunod-sunod pang mga putok.","Nang si Yape ay bumagsak sa lupa , pinatapos siya ng nag-atake sa pamamagitan ng higit pang mga pagbaril .",,Joel Ethan Batac/Boris Victoria
"Weather conditions , especially in areas earlier affected by Rolly , can observe gradual improvement in the next few days .","Maaaring makaranas ng unti-unting pagbuti ng panahon sa mga susunod na araw, lalo na sa mga lugar na dating sinalanta ni Rolly.","Ang mga kondisyon sa panahon , lalo na sa mga lugar na unang apektado ng Rolly , ay maaaring makita ang unti-unting pagpapabuti sa susunod na ilang araw .","unnecessary ay inversion, masyado mahaba for me",Joel Ethan Batac/Boris Victoria
"The licensure exam was originally slated on Nov . 16 , 17 , and 18 .","Orihinal na itinakda ang licensure exam sa Nobyembre 16, 17, at 18.","Ang eksaminasyon sa lisensya ay orihinal na nakatakda sa Nobyembre 16 , 17 , at 18 .",examinasyon sa lisensya too literal,Joel Ethan Batac/Boris Victoria
A heart attack occurs when the flow of blood to the heart is severely reduced or blocked.,Ang atake sa puso ay nangyayari kapag ang daloy ng dugo sa puso ay lubhang nabawasan o nabara.,Ang puso ay inaatake kapag ang dugo ay hindi na umaagos papunta sa puso ng sobra,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
"The blockage is usually due to a buildup of fat, cholesterol and other substances in the heart (coronary) arteries","Ang pagkabara ay karaniwang dulot ng naipong taba, kolesterol, at iba pang materyal sa mga ugat ng puso .","Ang pagbabara ay kadalasang dahil sa isang buildup ng taba, kolesterol at iba pang mga sangkap sa puso (coronary) arteries",Literal Translation,Paul Ivan Enclonar/Alonzo Rimando
"Sometimes, the first symptom sign of a heart attack is sudden cardiac arrest.","Minsan, ang unang sintomas ng atake sa puso ay biglaang paghinto ng tibok ng puso.","Minsan, ang unang sintomas ng atake sa puso ay biglaang pag-aresto sa puso.",Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
"The risk of developing certain cancers can be reduced by not smoking, maintaining a healthy weight, limiting alcohol intake, and eating plenty of vegetables.","Ang panganib na magkaroon ng ilang mga kanser ay maaaring mabawasan sa pamamagitan ng pagiwas sa paninigarilyo, pagpapanatili ng malusog na timbang, paglilimita sa pag-inom ng alak, at pagkain ng maraming gulay.","Ang panganib na magkaroon ng ilang mga kanser ay maaaring mabawasan sa pamamagitan ng hindi paninigarilyo, pagpapanatili ng malusog na timbang, paglilimita sa pag-inom ng alak, at pagkain ng maraming gulay.",Literal Translation,Paul Ivan Enclonar/Alonzo Rimando
"When cancer begins, it produces no symptoms. Signs and symptoms appear as the mass grows or ulcerates.","Kapag nagsimula na ang cancer, wala itong mga sintomas. Lumilitaw lang mga palatandaan at sintomas habang lumalaki ang masa o nag-ulcerate.","Kapag nagsimula ang kanser, wala itong ginagawang sintomas. Ang mga palatandaan at sintomas ay lalabas habang lumalaki ang masa o nasusugatan.",Mistranslation,Paul Ivan Enclonar/Alonzo Rimando
The majority of cancers are due to genetic mutations from environmental and lifestyle factors,Ang karamihan ng mga kanser ay dulot ng mga mutasyong genetiko na nagmumula sa mga salik sa kapaligiran at pamumuhay.,Ang karamihan ng kanser ay dahil sa mutasyon ng genes galing sa kapaligiran at pamumuhay,Mistranslation,Paul Ivan Enclonar/Alonzo Rimando
